bet|bet|bet|заключать пари|Are you going to bet on the white horse? - Ты собираешься поставить на белую лошадь? |He bet $5 on the game. - Он поставил на этот матч пять долларов.|no example|const
bleed|bled|bled|кровоточить|no example|no example|no example|common_topic_negative
cling|clung|clung|цепляться|no example|no example|no example|common_topic_negative
sting|stung|stung|жалить|no example|no example|no example|common_topic_negative
lose|lost|lost|терять|no example|no example|no example|common_topic_negative
swear|swore|sworn|клясться,ругаться|no example|no example|no example|common_topic_negative
shoot|shot|shot|стрелять|no example|no example|no example|common_topic_fidget
spin|spun|spun|крутить|no example|no example|no example|common_topic_fidget
win|won|won|побеждать|no example|no example|no example|common_topic_fidget
slide|slid|slid|скользить|no example|no example|no example|common_topic_fidget
swim|swam|swum|плавать|no example|no example|no example|common_topic_fidget
wind|wound|wound|обматывать,изгибаться|no example|no example|no example|common_topic_fidget
fight|fought|fought|бороться|no example|no example|no example|common_topic_fidget
flee|fled|fled|сбегать|no example|no example|no example|common_topic_fidget
bend|bent|bent|наклонять|no example|no example|no example|common_topic_fidget
bind|bound|bound|связывать|no example|no example|no example|common_topic_fidget
bring|brought|brought|приносить|no example|no example|no example|common_topic_fidget
catch|caught|caught|ловить|no example|no example|no example|common_topic_fidget
find|found|found|находить|no example|no example|no example|common_topic_fidget
seek|sought|sought|искать|no example|no example|no example|common_topic_fidget
lie|lay|lain|лежать|no example|no example|no example|common_topic_state
sit|sat|sat|сидеть|no example|no example|no example|common_topic_state
sleep|slept|slept|спать|no example|no example|no example|common_topic_state
stand|stood|stood|стоять|no example|no example|no example|common_topic_state
hold|held|held|держать|no example|no example|no example|common_topic_state
go|went|gone|идти|no example|no example|no example|common_topic_state
hang|hung|hung|висеть|no example|no example|no example|common_topic_state
shrink|shrank|shrunk|сжиматься|no example|no example|no example|common_topic_state
spell|spelt,spelled|spelt,spelled|произносить,писать по буквам|How do you spell your name? - Как пишется ваше имя?|no example|no example|common_topic_training
begin|began|begun|начинать|no example|no example|no example|common_topic_training
draw|drew|drawn|рисовать,тянуть|no example|no example|no example|common_topic_training
learn|learnt,learned|learnt,learned|учиться,узнавать|Live and learn! - Век живи и век учись!,I learned Sanskrit. - Я выучил санскрит.|no example|no example|common_topic_training
hear|heard|heard|слышать|no example|no example|no example|common_topic_training
lead|led|led|вести,лидировать|no example|no example|no example|common_topic_training
understand|understood|understood|понимать|no example|no example|no example|common_topic_training
read|read|read|читать|no example|no example|no example|common_topic_training
say|said|said|сказать|no example|no example|no example|common_topic_training
show|showed|shown|показывать|no example|no example|no example|common_topic_training
sing|sang|sung|петь|no example|no example|no example|common_topic_training
think|thought|thought|думать|no example|no example|no example|common_topic_training
teach|taught|taught|обучать|no example|no example|no example|common_topic_training
tell|told|told|рассказывать|no example|no example|no example|common_topic_training
spend|spent|spent|тратить,проводить время|How do you spend your leisure? - Как вы проводите свободное время?|He spent his force. - Он растратил все свои силы.|no example|common_topic_training
